"Story","Title","Result","Date","Stability","Duration (s)"
"Login test","Login test failed","ERROR","2021-05-15T16:20:52.3589735+03:00[Europe/Chisinau]","0.0","108.16"
"Login test","Login test successful","ERROR","2021-05-15T16:20:52.9451014+03:00[Europe/Chisinau]","0.0","100.46"
